"id","film.person","film.href","film","film.person.href","award","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age","wga","eddie","Hot","Dark","Ethnicity","Sexuality","Nationality","fall","white","black","american","british","R.rated","critic"
"Nell Best Actress","Jodie Foster","http://www.imdb.com/title/tt0110638/","Nell","http://www.imdb.com/name/nm0000149/","Best Actress",1995,0,3,2,5,5,112,1,0,0,0,0,"December",0,0,0,1,0,0,0,0,0,33.683817,NA,"PG-13",1,33,0,0,0,1,"White","Gay","United States",1,1,0,1,0,0,NA
"Network Best Actor","Peter Finch","http://www.imdb.com/title/tt0074958/","Network","http://www.imdb.com/name/nm0002075/","Best Actor",1977,1,1,0,22,19,121,1,0,0,0,0,"November",0,1,1,NA,0,1,1,1,1,23.689877,3.8e-06,"R",1,61,1,0,0,0,"White","Straight","Australia",1,1,0,0,0,1,NA
"Network Best Actor","William Holden","http://www.imdb.com/title/tt0074958/","Network","http://www.imdb.com/name/nm0000034/","Best Actor",1977,0,2,1,22,19,121,1,0,0,0,0,"November",0,1,1,NA,0,1,1,1,1,23.689877,3.8e-06,"R",1,59,1,0,0,0,"White","Straight","United States",1,1,0,1,0,1,NA
"Network Best Actress","Faye Dunaway","http://www.imdb.com/title/tt0074958/","Network","http://www.imdb.com/name/nm0001159/","Best Actress",1977,1,2,0,22,19,121,1,0,0,0,0,"November",0,0,1,NA,0,1,1,1,1,23.689877,3.8e-06,"R",1,36,1,0,0,0,"White","Straight","United States",1,1,0,1,0,1,NA
"Network Best Director","Sidney Lumet","http://www.imdb.com/title/tt0074958/","Network","http://www.imdb.com/name/nm0001486/","Best Director",1977,0,2,0,22,19,121,1,0,0,0,0,"November",0,0,1,NA,0,1,1,1,1,23.689877,3.8e-06,"R",1,53,1,0,0,0,"White","Straight","United States",1,1,0,1,0,1,NA
"Network Best Picture",NA,"http://www.imdb.com/title/tt0074958/","Network",NA,"Best Picture",1977,0,NA,NA,22,19,121,1,0,0,0,0,"November",0,0,0,NA,0,1,1,1,1,23.689877,3.8e-06,"R",1,NA,1,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"Network Best Supporting Actor","Ned Beatty","http://www.imdb.com/title/tt0074958/","Network","http://www.imdb.com/name/nm0000885/","Best Supporting Actor",1977,0,0,0,22,19,121,1,0,0,0,0,"November",0,0,0,NA,0,1,1,1,1,23.689877,3.8e-06,"R",1,40,1,0,0,0,"White","Straight","United States",1,1,0,1,0,1,NA
"Network Best Supporting Actress","Beatrice Straight","http://www.imdb.com/title/tt0074958/","Network","http://www.imdb.com/name/nm0833152/","Best Supporting Actress",1977,1,0,0,22,19,121,1,0,0,0,0,"November",0,0,0,NA,0,1,1,1,1,23.689877,3.8e-06,"R",1,63,1,0,0,0,"White","Straight","United States",1,1,0,1,0,1,NA
"Nicholas and Alexandra Best Actress","Janet Suzman","http://www.imdb.com/title/tt0067483/","Nicholas and Alexandra","http://www.imdb.com/name/nm0840531/","Best Actress",1972,0,0,0,1,11,183,1,0,1,0,0,"December",0,0,0,NA,0,0,0,0,1,NA,NA,NA,1,33,0,0,0,0,"White","Straight","South Africa",1,1,0,0,0,NA,NA
"Nicholas and Alexandra Best Picture",NA,"http://www.imdb.com/title/tt0067483/","Nicholas and Alexandra",NA,"Best Picture",1972,0,NA,NA,1,11,183,1,0,1,0,0,"December",0,0,0,NA,0,0,0,0,1,NA,NA,NA,1,NA,0,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
